FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,len,subdomain,longest_word,sld,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Fwd Packets/s,Bwd Packets/s,Fwd IAT Mean,Bwd IAT Mean,Flow IAT Mean,Flow Packets/s,Flow Bytes/s
11,0,0,10,0,2.0306390622295662,1,2,7,5.0,8,0,2987,5339,60419,2,2,88.0,174.0,44.0,87.0,33.10216985,33.10216985,3.0,3.0,20139.66667,66.20433969,4336.38425
12,3,0,9,0,1.361654166907052,3,4,3,2.25,6,1,2285,4131,60750,1,1,48.0,112.0,48.0,112.0,16.46090535,16.46090535,0.0,0.0,60750.0,32.9218107,2633.744856
12,3,0,10,0,2.0306390622295662,2,3,4,3.333333333333333,8,1,1755,3130,34356,4,0,5888.0,0.0,1472.0,0.0,116.427989288625,0.0,11452.0,0.0,11452.0,116.427989288625,171382.000232856
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,62100,1,1,45.0,121.0,45.0,121.0,16.10305958,16.10305958,0.0,0.0,62100.0,32.20611916,2673.10789
25,8,0,10,9,2.619548958994393,6,6,7,3.333333333333333,12,1,2,30,1834,2,2,62.0,94.0,31.0,47.0,1090.512541,1090.512541,1.0,4.0,611.3333333,2181.025082,85059.97819
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,24353,2,2,72.0,286.0,36.0,143.0,82.12540549,82.12540549,3.0,4.0,8117.666667,164.250811,14700.44758
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,111182828,2,2,96.0,256.0,48.0,128.0,0.017988389,0.017988389,111000000.0,111000000.0,37100000.0,0.035976779,3.165956527
27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,14,1,2,38,47,2,0,1288.0,0.0,644.0,0.0,42553.191489361714,0.0,47.0,0.0,47.0,42553.191489361714,27404255.31914894
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,55,2,0,1362.0,0.0,681.0,0.0,36363.63636363636,0.0,55.0,0.0,55.0,36363.63636363636,24763636.363636363
25,8,0,10,9,2.78621562566106,6,6,7,3.333333333333333,12,1,2,38,439,1,1,53.0,113.0,53.0,113.0,2277.904328,2277.904328,0.0,0.0,439.0,4555.808656,378132.1185
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,24489,2,2,116.0,148.0,58.0,74.0,81.66932092,81.66932092,3.0,3.0,8163.0,163.3386418,10780.35036
14,0,0,13,0,2.963119653306635,1,2,10,6.5,11,0,2100,6161,19897,200,0,88000.0,0.0,440.0,0.0,10051.766597979597,0.0,99.9849246231156,0.0,99.9849246231156,10051.766597979597,4422777.303111021
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,1,2,0,1390.0,0.0,695.0,0.0,2000000.0,0.0,1.0,0.0,1.0,2000000.0,1390000000.0
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,276,2,2,74.0,494.0,37.0,247.0,7246.376812,7246.376812,3.0,3.0,92.0,14492.75362,2057971.014
15,9,0,11,0,2.92943872242372,4,3,5,4.333333333333333,15,1,3035,5406,88236,4,2,296.0,266.0,74.0,133.0,45.33297067,22.66648533,10226.0,4.0,17647.2,67.999456,6369.282379
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,25692,2,2,84.0,246.0,42.0,123.0,77.84524366,77.84524366,7.0,1.0,8564.0,155.6904873,12844.4652
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,49073,2,2,90.0,206.0,45.0,103.0,40.75560899,40.75560899,48.0,4.0,16357.66667,81.51121798,6031.830131
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,86801389,3,3,154.0,402.0,51.33333333,134.0,0.034561659,0.034561659,43400000.0,43400000.0,17400000.0,0.069123318,6.405427452
27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,14,1,2,38,288,2,2,64.0,204.0,32.0,102.0,6944.444444,6944.444444,3.0,3.0,96.0,13888.88889,930555.5556
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,156021,174,0,76272.0,0.0,438.3448275862069,0.0,1115.234487665122,0.0,901.8554913294804,0.0,901.8554913294804,1115.234487665122,488857.2692137597
28,11,0,10,12,2.2057885242721635,6,6,7,3.8333333333333335,15,1,9,64,1,2,0,1370.0,0.0,685.0,0.0,2000000.0,0.0,1.0,0.0,1.0,2000000.0,1370000000.0
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,45,2,0,1028.0,0.0,514.0,0.0,44444.444444444445,0.0,45.0,0.0,45.0,44444.444444444445,22844444.444444444
10,0,0,9,0,2.375,1,2,7,4.5,8,0,1964,3533,59683,1,1,56.0,84.0,56.0,84.0,16.75518992,16.75518992,0.0,0.0,59683.0,33.51037984,2345.726589
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,109512,1,1,47.0,154.0,47.0,154.0,9.131419388,9.131419388,0.0,0.0,109512.0,18.26283878,1835.415297
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,23771,1,1,52.0,114.0,52.0,114.0,42.06806613,42.06806613,0.0,0.0,23771.0,84.13613226,6983.298978
28,3,0,26,0,3.4181019421837355,2,3,21,8.666666666666666,25,1,2102,3820,232,2,2,88.0,256.0,44.0,128.0,8620.689655,8620.689655,4.0,3.0,77.33333333,17241.37931,1482758.621
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,2333,2,2,76.0,138.0,38.0,69.0,857.2653236,857.2653236,2.0,4.0,777.6666667,1714.530647,91727.38963
16,0,0,15,0,3.106829570482062,1,2,13,7.5,14,0,5128,8806,49024,2,2,62.0,248.0,31.0,124.0,40.79634465,40.79634465,1.0,48.0,16341.33333,81.5926893,6323.43342
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,251,2,2,74.0,178.0,37.0,89.0,7968.12749,7968.12749,152.0,12.0,83.66666667,15936.25498,1003984.064
12,0,0,11,0,2.373266667948722,1,2,8,5.5,9,0,3366,5933,34203,2,2,64.0,128.0,32.0,64.0,58.47440283,58.47440283,3.0,48.0,11401.0,116.9488057,5613.542672
16,0,0,15,0,2.742337624271511,1,2,12,7.5,13,0,52,3332,176,2,2,64.0,96.0,32.0,48.0,11363.63636,11363.63636,4.0,4.0,58.66666667,22727.27273,909090.9091
27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,14,1,2,38,181,2,2,82.0,152.0,41.0,76.0,11049.72376,11049.72376,4.0,4.0,60.33333333,22099.44751,1292817.68
10,0,0,8,0,1.4575424759098898,2,3,4,2.6666666666666665,5,0,3498,6178,63914,4,4,128.0,376.0,32.0,94.0,62.58409738,62.58409738,21255.66667,10993.66667,9130.571429,125.1681948,7885.59627
32,0,32,0,0,1.918454775863343,0,1,32,32.0,33,0,10,163,29327,200,0,88000.0,0.0,440.0,0.0,6819.654243529853,0.0,147.37185929648243,0.0,147.37185929648243,6819.654243529853,3000647.867153136
9,0,0,8,0,2.120589933192232,1,2,6,4.0,7,0,165,464,119958,1,1,49.0,221.0,49.0,221.0,8.336251021,8.336251021,0.0,0.0,119958.0,16.67250204,2250.787776
20,3,0,18,0,3.0306390622295662,2,3,12,6.0,16,1,4872,8413,25840,4,0,5888.0,0.0,1472.0,0.0,154.79876160990713,0.0,8613.333333333332,0.0,8613.333333333332,154.79876160990713,227863.77708978328
13,0,0,10,1,2.989735285398626,2,2,9,6.0,10,0,1216,2144,47,2,0,1242.0,0.0,621.0,0.0,42553.191489361714,0.0,47.0,0.0,47.0,42553.191489361714,26425531.91489362
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,146430,2,2,62.0,206.0,31.0,103.0,13.65840333,13.65840333,1.0,4.0,48810.0,27.31680667,1830.226047
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,2,2,0,2550.0,0.0,1275.0,0.0,1000000.0,0.0,2.0,0.0,2.0,1000000.0,1275000000.0
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,357498,2,2,70.0,114.0,35.0,57.0,5.594436892,5.594436892,1.0,3.0,119166.0,11.18887378,514.6881941
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,30953,2,2,64.0,152.0,32.0,76.0,64.61409233,64.61409233,49.0,3.0,10317.66667,129.2281847,6978.321972
12,0,0,11,0,2.589735285398626,1,2,9,5.5,10,0,5651,7166,71,2,0,630.0,0.0,315.0,0.0,28169.01408450704,0.0,71.0,0.0,71.0,28169.01408450704,8873239.436619718
27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,14,1,2,38,1245,2,2,74.0,590.0,37.0,295.0,1606.425703,1606.425703,3.0,3.0,415.0,3212.851406,533333.3333
9,0,0,7,0,1.0566416671474377,2,3,3,2.333333333333333,3,0,4913,8479,5196971,8,4,272.0,532.0,34.0,133.0,1.539358215,0.769679107,738162.7143,1704078.0,472451.9091,2.309037322,154.7055006
14,0,0,13,0,2.9528822923277263,1,2,11,6.5,12,0,1936,3491,58582,200,0,88000.0,0.0,440.0,0.0,3414.017957734457,0.0,294.3819095477385,0.0,294.3819095477385,3414.017957734457,1502167.9014031612
25,8,0,10,9,2.556641667147437,6,6,7,3.333333333333333,12,1,2,38,30923,2,2,90.0,172.0,45.0,86.0,64.6767778,64.6767778,4.0,3.0,10307.66667,129.3535556,8472.657892
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,179,2,2,90.0,158.0,45.0,79.0,11173.18436,11173.18436,4.0,47.0,59.66666667,22346.36872,1385474.86
14,3,0,12,0,2.5308571531099555,2,3,7,4.0,11,1,5353,9305,31215,4,4,148.0,276.0,37.0,69.0,128.1435207,128.1435207,10295.0,194.3333333,4459.285714,256.2870415,13583.2132
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,38883,200,0,87280.0,0.0,436.4,0.0,5143.63603631407,0.0,195.3919597989949,0.0,195.3919597989949,5143.63603631407,2244682.76624746
14,3,0,12,0,2.51424653518228,2,3,6,4.0,10,1,121,9782,269,2,2,70.0,126.0,35.0,63.0,7434.944238,7434.944238,1.0,1.0,89.66666667,14869.88848,728624.5353
2,0,2,0,0,1.0566416671474377,0,1,2,2.0,3,0,11,150,2135,1,1,48.0,110.0,48.0,110.0,468.3840749,468.3840749,0.0,0.0,2135.0,936.7681499,74004.68384
25,8,0,10,9,2.556641667147437,6,6,7,3.333333333333333,12,1,2,38,76666,2,2,106.0,238.0,53.0,119.0,26.08718337,26.08718337,0.0,3.0,25555.33333,52.17436673,4486.995539
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,35873,4,0,5856.0,0.0,1464.0,0.0,111.50447411702392,0.0,11957.666666666668,0.0,11957.666666666668,111.50447411702392,163242.55010732304
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,37932,2,2,74.0,200.0,37.0,100.0,52.72593061,52.72593061,4.0,49.0,12644.0,105.4518612,7223.452494
25,8,0,10,9,2.556641667147437,6,6,7,3.333333333333333,12,1,2,38,303264,1,1,43.0,174.0,43.0,174.0,3.297457001,3.297457001,0.0,0.0,303264.0,6.594914002,715.5481693
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,48,2,0,1984.0,0.0,992.0,0.0,41666.66666666666,0.0,48.0,0.0,48.0,41666.66666666666,41333333.333333336
25,8,0,10,9,2.78621562566106,6,6,7,3.333333333333333,12,1,2,38,24808,90,0,39600.0,0.0,440.0,0.0,3627.86198000645,0.0,278.74157303370794,0.0,278.74157303370794,3627.86198000645,1596259.2712028378
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,197,2,2,64.0,196.0,32.0,98.0,10152.28426,10152.28426,4.0,2.0,65.66666667,20304.56853,1319796.954
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,31790,200,0,88000.0,0.0,440.0,0.0,6291.286568103177,0.0,159.74874371859298,0.0,159.74874371859298,6291.286568103177,2768166.089965398
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,53642,2,2,62.0,188.0,31.0,94.0,37.28421759,37.28421759,48.0,4.0,17880.66667,74.56843518,4660.527199
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,61283,2,2,60.0,264.0,30.0,132.0,32.63547803,32.63547803,47.0,48.0,20427.66667,65.27095606,5286.947441
15,0,0,14,0,2.9528822923277263,1,2,11,7.0,12,0,712,1479,48,2,0,2890.0,0.0,1445.0,0.0,41666.66666666666,0.0,48.0,0.0,48.0,41666.66666666666,60208333.33333333
19,3,0,17,0,2.562120388801924,2,3,11,5.666666666666667,15,1,2588,3198,208,2,2,74.0,234.0,37.0,117.0,9615.384615,9615.384615,3.0,4.0,69.33333333,19230.76923,1480769.231
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,44,2,0,1188.0,0.0,594.0,0.0,45454.545454545456,0.0,44.0,0.0,44.0,45454.545454545456,27000000.0
16,10,0,12,0,3.077819531114783,4,3,5,4.666666666666667,16,1,3035,5406,23580,1,1,46.0,62.0,46.0,62.0,42.40882103,42.40882103,0.0,0.0,23580.0,84.81764207,4580.152672
12,0,0,11,0,2.789735285398626,1,2,9,5.5,10,0,5208,876,211,2,2,46.0,46.0,23.0,23.0,9478.672986,9478.672986,46.0,48.0,70.33333333,18957.34597,436018.9573
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,221024,200,0,88000.0,0.0,440.0,0.0,904.8791081511512,0.0,1110.6733668341712,0.0,1110.6733668341712,904.8791081511512,398146.8075865065
17,0,0,15,0,3.195766177470386,2,2,13,8.0,14,0,178,492,30746,2,2,78.0,146.0,39.0,73.0,65.04911208,65.04911208,1.0,4.0,10248.66667,130.0982242,7285.500553
11,0,0,10,0,2.595488890170944,1,2,8,5.0,9,0,2131,9198,54278,2,2,72.0,190.0,36.0,95.0,36.84734146,36.84734146,3.0,4.0,18092.66667,73.69468293,4827.001732
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,793,4,0,2996.0,0.0,749.0,0.0,5044.136191677176,0.0,264.3333333333333,0.0,264.3333333333333,5044.136191677176,3778058.007566204
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,17820,200,0,88000.0,0.0,440.0,0.0,11223.34455667789,0.0,89.54773869346735,0.0,89.54773869346735,11223.34455667789,4938271.604938271
10,0,0,9,0,2.375,1,2,7,4.5,8,0,3605,7108,72548,2,2,64.0,148.0,32.0,74.0,27.56795501,27.56795501,0.0,3.0,24182.66667,55.13591002,2922.203231
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,109453592,2,2,141.0,325.0,70.5,162.5,0.018272584,0.018272584,109000000.0,109000000.0,36500000.0,0.036545169,4.25751217
32,0,32,0,0,2.674525829113344,0,1,32,32.0,33,0,12,161,28510,174,0,75984.0,0.0,436.6896551724138,0.0,6103.121711680114,0.0,164.79768786127173,0.0,164.79768786127173,6103.121711680113,2665170.11574886
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,210,2,2,140.0,204.0,70.0,102.0,9523.809524,9523.809524,4.0,4.0,70.0,19047.61905,1638095.238
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,232,2,2,86.0,228.0,43.0,114.0,8620.689655,8620.689655,1.0,49.0,77.33333333,17241.37931,1353448.276
12,0,0,10,0,2.789735285398626,2,2,9,5.5,10,0,1382,2410,31259,2,2,86.0,162.0,43.0,81.0,63.98157331,63.98157331,3.0,4.0,10419.66667,127.9631466,7933.71509
32,0,32,0,0,2.27626816047492,0,1,32,32.0,33,0,10,158,725,1,1,58.0,145.0,58.0,145.0,1379.310345,1379.310345,0.0,0.0,725.0,2758.62069,280000.0
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,31108,2,2,116.0,248.0,58.0,124.0,64.2921435,64.2921435,4.0,3.0,10369.33333,128.584287,11701.17012
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,133813,1,1,41.0,133.0,41.0,133.0,7.473115467,7.473115467,0.0,0.0,133813.0,14.94623093,1300.322091
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,422330,1,1,52.0,132.0,52.0,132.0,2.367816636,2.367816636,0.0,0.0,422330.0,4.735633273,435.6782611
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,208,2,2,68.0,100.0,34.0,50.0,9615.384615,9615.384615,4.0,48.0,69.33333333,19230.76923,807692.3077
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,2,2,0,2004.0,0.0,1002.0,0.0,1000000.0,0.0,2.0,0.0,2.0,1000000.0,1002000000.0
19,0,0,18,0,2.9056390622295662,1,2,15,9.0,16,0,5238,2787,260109,174,0,76272.0,0.0,438.3448275862069,0.0,668.95032467158,0.0,1503.5202312138724,0.0,1503.5202312138724,668.95032467158,293230.9147319009
15,0,0,14,0,3.1195489589943928,1,2,11,7.0,12,0,917,2131,1,2,0,1320.0,0.0,660.0,0.0,2000000.0,0.0,1.0,0.0,1.0,2000000.0,1320000000.0
